country_num	wevent	wpart_all	lpopw_part_all	duration	election_number	pm_t_vote	pm_t1_vote	day_t1	month_t1	year_t1	day_t	month_t	year_t	imf	bailout	crisis_election	east	coalition_government	unemployment_change	debt_change	gdp_change	swing	switzerland	pm_vote_change	country_iso	react_wevent	react_lpopw_part_all
6	48.0	380176.5	113438.94620841742	29.0	-1	32.3	30.21	15	6	2002	19	6	1998	0	0	0	1	1	1.8	12.6	45.74619	5.9	0	-2.09	"CZ"	83.0	207915.98
6	83.0	696804.5	207915.98498535156	48.0	0	30.21	32.3	2	6	2006	15	6	2002	0	0	0	1	0	0.9	1.3	41.91972	-2.100002	0	2.09	"CZ"	78.0	457774.9
6	78.0	1534175.5	457774.9044351578	48.0	1	35.4	20.2	28	5	2010	2	6	2006	0	0	1	1	0	0.2	10.0	26.74866	10.92	0	-15.2	"CZ"	132.0	366642.3
6	132.0	1228756.0	366642.3102245331	41.0	2	20.2	7.7	26	10	2013	28	5	2010	0	0	1	1	0	-1.2	7.8	-0.2940708	-15.2	0	-12.5	"CZ"		
7	81.0	177001.0	32879.79391479492	33.0	-1	40.9	38.52	22	9	2002	27	9	1998	0	0	0	0	0	-1.3	-0.7	9.542149	4.5	0	-2.380001	"DE"	88.0	63456.527
7	88.0	341604.0	63456.52917480469	36.0	0	38.52	34.3	16	9	2005	22	9	2002	0	0	0	0	0	2.8	7.1	4.324172	-2.41	0	-4.220001	"DE"	127.0	156962.05
7	127.0	844970.0	156962.04754638672	48.0	1	35.2	33.8	27	9	2009	16	9	2005	0	0	1	0	0	-3.5	0.6	6.7344	-3.309998	0	-1.400002	"DE"	90.0	150687.42
7	90.0	811192.0	150687.42626953125	48.0	2	33.8	41.5	22	9	2013	27	9	2009	0	0	1	0	0	-2.6	14.2	15.30621	-1.400002	0	7.700001	"DE"		
8	17.0	30200.0	11020.022827148438	39.0	-1	31.3	29.03	8	2	2005	20	11	2001	0	0	0	0	1	0.4	-7.3	15.70129	7.299999	0	-2.269999	"DK"	22.0	43126.242
8	22.0	118186.0	43126.24203491211	33.0	0	29.03	26.2	13	11	2007	8	2	2005	0	0	0	0	1	-1.8	-13.0	9.725274	-2.219999	0	-2.83	"DK"	2.0	27.732508
8	2.0	76.0	27.732507705688477	46.0	1	26.2	26.7	15	9	2011	13	11	2007	0	0	1	0	1	3.5	14.3	5.69286	-2.83	0	0.5	"DK"	14.0	5926.7285
8	14.0	16242.0	5926.7287521362305	45.0	2	24.9	26.28	18	6	2015	15	9	2011	0	0	1	0	1	-1.4	-6.2	8.169876871	-0.6	0	1.38	"DK"		
9	13.0	13508.0	10700.556287765503	38.0	-1	15.9	17.7	2	3	2003	7	3	1999	0	0	0	1	0	0.8	-0.3	62.80676	8.200001	0	1.8	"EE"	12.0	34128.816
9	12.0	43083.0	34128.817932128906	48.0	0	17.7	27.8	4	3	2007	2	3	2003	0	0	0	1	0	-5.2	-1.3	84.21939	17.6	0	10.1	"EE"	18.0	15751.396
9	18.0	19884.0	15751.396301269531	48.0	1	27.8	28.6	6	3	2011	4	3	2007	0	0	1	1	0	8.1	2.3	0.785252	10.11	0	0.8000011	"EE"	15.0	39138.86
9	15.0	49407.5	39138.860916137695	48.0	2	28.6	27.7	1	3	2015	6	3	2011	0	0	1	1	1	-7.7	3.8	22.75852552	0.8	0	-0.9	"EE"		
10	275.0	2401400.0	497100.5958561897	48.0	-1	44.5	38.31	14	3	2004	12	3	2000	0	0	0	0	1	-3.4	-10.6	33.55844	5.700001	0	-6.189999	"ES"	34.0	14024.555
10	34.0	67750.0	14024.554381847382	48.0	0	43.27	43.9	9	3	2008	14	3	2004	0	0	0	0	1	-2.9	-12.5	29.29939	9.07	0	0.6300011	"ES"	495.0	368816.8
10	495.0	1781685.0	368816.7991614938	45.0	1	43.9	28.7	4	12	2011	9	3	2008	0	0	1	0	1	13.0	25.4	-3.811496	0.6300011	0	-15.2	"ES"	468.0	528960.7
10	468.0	2555310.0	528960.6579412818	49.0	2	44.6	28.71	20	12	2015	4	12	2011	0	1	1	0	0	-1.7	29.7	1.006807653	4.7	0	-15.89	"ES"		
11	5.0	7575.0	2800.6304416656494	38.0	-1	22.9	24.47	16	3	2003	21	3	1999	0	0	0	0	0	-2.6	-6.9	18.97466	-5.4	0	1.57	"FI"	2.0	2033.4609
11	2.0	5500.0	2033.4609985351562	48.0	0	24.69	23.1	18	3	2007	16	3	2003	0	0	0	0	0	-3.7	-1.9	23.56817	2.290001	0	-1.59	"FI"	10.0	6101.492
11	10.0	16503.0	6101.492278218269	49.0	1	23.1	15.8	17	4	2011	18	3	2007	0	0	1	0	0	1.9	9.2	4.956904	-1.59	0	-7.3	"FI"	1.0	924.3005
11	1.0	2500.0	924.3004760742188	48.0	2	20.4	18.2	19	4	2015	17	4	2011	0	0	1	0	1	1.9	14.6	5.257811032	-1.9	0	-2.2	"FI"		
12	402.0	867156.0	167736.18181300163	29.0	-1	23.82	23.78	9	6	2002	25	5	1997	0	0	0	0	0	-2.84	-1.1	22.9718	1.35	0	-0.04	"FR"	811.0	1579239.9
12	811.0	8164293.0	1579239.8820548058	60.0	0	33.3	39.5	10	6	2007	9	6	2002	0	0	0	0	1	0.1	6.8	22.28652	16.3	0	6.2	"FR"	1043.0	1780404.5
12	1043.0	9204266.0	1780404.477007866	60.0	1	39.5	27.1	10	6	2012	10	6	2007	0	0	1	0	1	1.2	22.5	7.711747	7.549999	0	-12.4	"FR"		
13	124.0	1680426.0	495881.8822979927	47.0	-1	43.8	40.55	7	3	2004	8	4	2000	0	0	0	0	1	-1.4	-4.8	34.31905	2.299999	0	-3.25	"GR"	302.0	562821.3
13	302.0	1907268.0	562821.3339316845	42.0	0	45.36	41.8	16	9	2007	7	3	2004	0	0	0	0	1	-3.5	7.5	20.45415	2.619999	0	-3.560001	"GR"	370.0	620614.75
